,id,Geographic Area Name,Estimate_RACE_Total population,ME_RACE_Total population,PT Estimate_RACE_Total population,PT ME_RACE_Total population,Estimate_RACE_Total population_One race,ME_RACE_Total population_One race,PT Estimate_RACE_Total population_One race,PT ME_RACE_Total population_One race,Estimate_RACE_Total population_Two or more races,ME_RACE_Total population_Two or more races,PT Estimate_RACE_Total population_Two or more races,PT ME_RACE_Total population_Two or more races,Estimate_RACE_Total population_One race,ME_RACE_Total population_One race,PT Estimate_RACE_Total population_One race,PT ME_RACE_Total population_One race,Estimate_RACE_Total population_One race_White,ME_RACE_Total population_One race_White,PT Estimate_RACE_Total population_One race_White,PT ME_RACE_Total population_One race_White,Estimate_RACE_Total population_One race_Black or African American,ME_RACE_Total population_One race_Black or African American,PT Estimate_RACE_Total population_One race_Black or African American,PT ME_RACE_Total population_One race_Black or African American,Estimate_RACE_Total population_One race_American Indian and Alaska Native,ME_RACE_Total population_One race_American Indian and Alaska Native,PT Estimate_RACE_Total population_One race_American Indian and Alaska Native,PT ME_RACE_Total population_One race_American Indian and Alaska Native,Estimate_RACE_Total population_One race_Asian,ME_RACE_Total population_One race_Asian,PT Estimate_RACE_Total population_One race_Asian,PT ME_RACE_Total population_One race_Asian,Estimate_RACE_Total population_One race_Native Hawaiian and Other Pacific Islander,ME_RACE_Total population_One race_Native Hawaiian and Other Pacific Islander,PT Estimate_RACE_Total population_One race_Native Hawaiian and Other Pacific Islander,PT ME_RACE_Total population_One race_Native Hawaiian and Other Pacific Islander,Estimate_RACE_Total population_One race_Some other race,ME_RACE_Total population_One race_Some other race,PT Estimate_RACE_Total population_One race_Some other race,PT ME_RACE_Total population_One race_Some other race,Estimate_RACE_Total population_Two or more races,ME_RACE_Total population_Two or more races,PT Estimate_RACE_Total population_Two or more races,PT ME_RACE_Total population_Two or more races,Estimate_RACE_Total population_Two or more races_White and Black or African American,ME_RACE_Total population_Two or more races_White and Black or African American,PT Estimate_RACE_Total population_Two or more races_White and Black or African American,PT ME_RACE_Total population_Two or more races_White and Black or African American,Estimate_RACE_Total population_Two or more races_White and American Indian and Alaska Native,ME_RACE_Total population_Two or more races_White and American Indian and Alaska Native,PT Estimate_RACE_Total population_Two or more races_White and American Indian and Alaska Native,PT ME_RACE_Total population_Two or more races_White and American Indian and Alaska Native,Estimate_RACE_Total population_Two or more races_White and Asian,ME_RACE_Total population_Two or more races_White and Asian,PT Estimate_RACE_Total population_Two or more races_White and Asian,PT ME_RACE_Total population_Two or more races_White and Asian,Estimate_RACE_Total population_Two or more races_Black or African American and American Indian and Alaska Native,ME_RACE_Total population_Two or more races_Black or African American and American Indian and Alaska Native,PT Estimate_RACE_Total population_Two or more races_Black or African American and American Indian and Alaska Native,PT ME_RACE_Total population_Two or more races_Black or African American and American Indian and Alaska Native,Estimate_HISPANIC OR LATINO AND RACE_Total population,ME_HISPANIC OR LATINO AND RACE_Total population,PT Estimate_HISPANIC OR LATINO AND RACE_Total population,PT ME_HISPANIC OR LATINO AND RACE_Total population,Estimate_HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race),ME_HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race),PT Estimate_HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race),PT ME_HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race)
141,8600000US11357,ZCTA5 11357,39902,1595,39902,(X),38904,1613,97.5,0.7,998,293,2.5,0.7,38904,1613,97.5,0.7,27972,1402,70.1,3.1,259,119,0.6,0.3,75,72,0.2,0.2,8826,1030,22.1,2.5,14,22,0.0,0.1,1758,995,4.4,2.4,998,293,2.5,0.7,216,140,0.5,0.3,45,46,0.1,0.1,460,223,1.2,0.6,0,25,0.0,0.1,39902,1595,39902,(X),6240,1332,15.6,2.9
142,8600000US11358,ZCTA5 11358,37190,1208,37190,(X),36299,1230,97.6,0.7,891,261,2.4,0.7,36299,1230,97.6,0.7,15507,954,41.7,2.5,352,154,0.9,0.4,153,184,0.4,0.5,17515,1102,47.1,2.4,0,25,0.0,0.1,2772,505,7.5,1.3,891,261,2.4,0.7,76,49,0.2,0.1,21,33,0.1,0.1,476,194,1.3,0.5,18,26,0.0,0.1,37190,1208,37190,(X),6261,768,16.8,1.8
143,8600000US11360,ZCTA5 11360,19621,865,19621,(X),19300,853,98.4,1.0,321,198,1.6,1.0,19300,853,98.4,1.0,12199,909,62.2,3.9,196,150,1.0,0.8,25,38,0.1,0.2,6402,821,32.6,3.8,0,19,0.0,0.2,478,261,2.4,1.3,321,198,1.6,1.0,56,65,0.3,0.3,20,32,0.1,0.2,145,113,0.7,0.6,0,19,0.0,0.2,19621,865,19621,(X),1918,498,9.8,2.5
144,8600000US11361,ZCTA5 11361,27246,808,27246,(X),26772,757,98.3,0.7,474,196,1.7,0.7,26772,757,98.3,0.7,13252,810,48.6,2.7,1036,221,3.8,0.8,0,22,0.0,0.1,11138,703,40.9,2.4,0,22,0.0,0.1,1346,483,4.9,1.7,474,196,1.7,0.7,107,85,0.4,0.3,0,22,0.0,0.1,150,82,0.6,0.3,65,65,0.2,0.2,27246,808,27246,(X),3510,630,12.9,2.2
145,8600000US11362,ZCTA5 11362,18721,1019,18721,(X),18184,984,97.1,2.0,537,382,2.9,2.0,18184,984,97.1,2.0,9308,713,49.7,4.2,176,117,0.9,0.6,0,19,0.0,0.2,8098,1017,43.3,4.2,0,19,0.0,0.2,602,368,3.2,2.0,537,382,2.9,2.0,188,150,1.0,0.8,234,335,1.2,1.8,59,61,0.3,0.3,0,19,0.0,0.2,18721,1019,18721,(X),1659,506,8.9,2.7
146,8600000US11364,ZCTA5 11364,36806,1401,36806,(X),36186,1414,98.3,0.6,620,226,1.7,0.6,36186,1414,98.3,0.6,14708,1025,40.0,2.5,962,379,2.6,1.0,315,314,0.9,0.9,19176,1142,52.1,2.7,9,11,0.0,0.1,1016,717,2.8,1.9,620,226,1.7,0.6,32,32,0.1,0.1,0,25,0.0,0.1,303,161,0.8,0.4,0,25,0.0,0.1,36806,1401,36806,(X),3526,878,9.6,2.3
147,8600000US11365,ZCTA5 11365,44983,1704,44983,(X),43113,1687,95.8,1.5,1870,667,4.2,1.5,43113,1687,95.8,1.5,15033,1343,33.4,2.9,3815,888,8.5,1.9,159,166,0.4,0.4,20176,1515,44.9,3.0,21,30,0.0,0.1,3909,1242,8.7,2.7,1870,667,4.2,1.5,344,267,0.8,0.6,105,102,0.2,0.2,429,305,1.0,0.7,0,25,0.0,0.1,44983,1704,44983,(X),8866,1310,19.7,2.7
148,8600000US11366,ZCTA5 11366,14650,960,14650,(X),14269,958,97.4,1.5,381,223,2.6,1.5,14269,958,97.4,1.5,6295,611,43.0,3.7,768,252,5.2,1.7,0,19,0.0,0.2,6676,818,45.6,3.9,0,19,0.0,0.2,530,277,3.6,1.9,381,223,2.6,1.5,53,49,0.4,0.3,0,19,0.0,0.2,291,214,2.0,1.4,0,19,0.0,0.2,14650,960,14650,(X),1298,343,8.9,2.5
149,8600000US11367,ZCTA5 11367,41824,1606,41824,(X),40143,1450,96.0,1.5,1681,657,4.0,1.5,40143,1450,96.0,1.5,23407,1276,56.0,3.0,3526,663,8.4,1.6,88,118,0.2,0.3,10891,1174,26.0,2.4,0,25,0.0,0.1,2231,753,5.3,1.8,1681,657,4.0,1.5,199,160,0.5,0.4,81,86,0.2,0.2,716,442,1.7,1.0,78,78,0.2,0.2,41824,1606,41824,(X),7466,1321,17.9,3.1
150,8600000US11368,ZCTA5 11368,112425,3121,112425,(X),110033,3240,97.9,0.5,2392,547,2.1,0.5,110033,3240,97.9,0.5,42338,3110,37.7,2.5,11805,1961,10.5,1.7,737,299,0.7,0.3,13463,1413,12.0,1.3,13,20,0.0,0.1,41677,3268,37.1,2.7,2392,547,2.1,0.5,686,356,0.6,0.3,40,36,0.0,0.1,216,224,0.2,0.2,50,67,0.0,0.1,112425,3121,112425,(X),84868,3131,75.5,1.7
151,8600000US11369,ZCTA5 11369,34118,1408,34118,(X),32918,1409,96.5,0.8,1200,271,3.5,0.8,32918,1409,96.5,0.8,9834,1110,28.8,2.9,5546,499,16.3,1.4,84,66,0.2,0.2,4207,525,12.3,1.5,0,25,0.0,0.1,13247,1057,38.8,2.7,1200,271,3.5,0.8,370,180,1.1,0.5,33,36,0.1,0.1,81,51,0.2,0.1,21,22,0.1,0.1,34118,1408,34118,(X),21701,1329,63.6,2.3
152,8600000US11370,ZCTA5 11370,32514,1727,32514,(X),31841,1662,97.9,0.7,673,222,2.1,0.7,31841,1662,97.9,0.7,13704,1458,42.1,3.5,4869,525,15.0,1.8,348,226,1.1,0.7,7149,929,22.0,2.6,0,25,0.0,0.1,5771,900,17.7,2.6,673,222,2.1,0.7,111,60,0.3,0.2,8,13,0.0,0.1,283,153,0.9,0.5,0,25,0.0,0.1,32514,1727,32514,(X),12153,1178,37.4,2.9
153,8600000US11371,ZCTA5 11371,0,12,0,(X),0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,0,(X),0,12,-,**
154,8600000US11372,ZCTA5 11372,61844,2482,61844,(X),59583,2498,96.3,0.8,2261,515,3.7,0.8,59583,2498,96.3,0.8,35443,2171,57.3,2.7,1973,551,3.2,0.9,246,155,0.4,0.2,12695,1383,20.5,2.0,141,147,0.2,0.2,9085,1433,14.7,2.2,2261,515,3.7,0.8,208,176,0.3,0.3,272,214,0.4,0.3,519,220,0.8,0.4,0,28,0.0,0.1,61844,2482,61844,(X),35600,2213,57.6,2.3
155,8600000US11373,ZCTA5 11373,93967,2535,93967,(X),91897,2568,97.8,0.5,2070,480,2.2,0.5,91897,2568,97.8,0.5,20359,1848,21.7,1.8,2003,525,2.1,0.6,826,408,0.9,0.4,45690,1859,48.6,1.8,11,16,0.0,0.1,23008,1945,24.5,1.9,2070,480,2.2,0.5,338,179,0.4,0.2,325,165,0.3,0.2,382,173,0.4,0.2,36,52,0.0,0.1,93967,2535,93967,(X),38896,2113,41.4,1.7
156,8600000US11374,ZCTA5 11374,42653,1628,42653,(X),40551,1679,95.1,1.4,2102,581,4.9,1.4,40551,1679,95.1,1.4,22481,1449,52.7,2.7,1881,607,4.4,1.4,47,73,0.1,0.2,13698,1069,32.1,2.2,0,25,0.0,0.1,2444,547,5.7,1.3,2102,581,4.9,1.4,343,249,0.8,0.6,556,336,1.3,0.8,794,346,1.9,0.8,0,25,0.0,0.1,42653,1628,42653,(X),6947,797,16.3,1.7
157,8600000US11375,ZCTA5 11375,73488,1710,73488,(X),70050,1876,95.3,0.8,3438,580,4.7,0.8,70050,1876,95.3,0.8,44651,1417,60.8,1.6,2008,448,2.7,0.6,203,119,0.3,0.2,20607,1332,28.0,1.5,0,28,0.0,0.1,2581,650,3.5,0.9,3438,580,4.7,0.8,674,302,0.9,0.4,0,28,0.0,0.1,1366,315,1.9,0.4,153,204,0.2,0.3,73488,1710,73488,(X),11570,1328,15.7,1.7
158,8600000US11377,ZCTA5 11377,86421,2690,86421,(X),83735,2531,96.9,0.8,2686,682,3.1,0.8,83735,2531,96.9,0.8,42254,2446,48.9,2.5,2299,494,2.7,0.6,327,226,0.4,0.3,32108,2142,37.2,2.2,0,28,0.0,0.1,6747,989,7.8,1.1,2686,682,3.1,0.8,216,177,0.2,0.2,449,454,0.5,0.5,841,212,1.0,0.2,56,67,0.1,0.1,86421,2690,86421,(X),32900,2356,38.1,2.2
159,8600000US11378,ZCTA5 11378,37279,1485,37279,(X),36054,1465,96.7,1.0,1225,360,3.3,1.0,36054,1465,96.7,1.0,26836,1233,72.0,2.3,635,196,1.7,0.5,84,84,0.2,0.2,3850,541,10.3,1.4,32,50,0.1,0.1,4617,782,12.4,2.0,1225,360,3.3,1.0,286,105,0.8,0.3,152,170,0.4,0.5,107,90,0.3,0.2,0,25,0.0,0.1,37279,1485,37279,(X),12007,1335,32.2,3.0
160,8600000US11379,ZCTA5 11379,37851,1452,37851,(X),36672,1401,96.9,1.1,1179,427,3.1,1.1,36672,1401,96.9,1.1,29559,1189,78.1,2.4,367,139,1.0,0.4,72,71,0.2,0.2,4166,769,11.0,1.9,0,25,0.0,0.1,2508,611,6.6,1.5,1179,427,3.1,1.1,203,232,0.5,0.6,71,51,0.2,0.1,359,211,0.9,0.6,0,25,0.0,0.1,37851,1452,37851,(X),7621,897,20.1,2.1
161,8600000US11385,ZCTA5 11385,106717,2314,106717,(X),104422,2305,97.8,0.4,2295,445,2.2,0.4,104422,2305,97.8,0.4,87155,2454,81.7,1.5,2415,500,2.3,0.5,263,157,0.2,0.1,7123,905,6.7,0.8,0,28,0.0,0.1,7466,1070,7.0,1.0,2295,445,2.2,0.4,603,207,0.6,0.2,73,75,0.1,0.1,595,233,0.6,0.2,0,28,0.0,0.1,106717,2314,106717,(X),47246,2188,44.3,1.4
162,8600000US11411,ZCTA5 11411,20759,771,20759,(X),20482,765,98.7,0.6,277,132,1.3,0.6,20482,765,98.7,0.6,699,314,3.4,1.5,19233,737,92.6,1.7,18,27,0.1,0.1,58,53,0.3,0.3,0,22,0.0,0.2,474,242,2.3,1.2,277,132,1.3,0.6,43,28,0.2,0.1,0,22,0.0,0.2,12,11,0.1,0.1,27,23,0.1,0.1,20759,771,20759,(X),1369,323,6.6,1.5
163,8600000US11412,ZCTA5 11412,37458,1143,37458,(X),36596,1093,97.7,0.7,862,258,2.3,0.7,36596,1093,97.7,0.7,661,205,1.8,0.5,33702,1169,90.0,1.4,271,242,0.7,0.6,891,346,2.4,0.9,23,24,0.1,0.1,1048,347,2.8,0.9,862,258,2.3,0.7,156,89,0.4,0.2,13,21,0.0,0.1,46,57,0.1,0.2,220,125,0.6,0.3,37458,1143,37458,(X),1909,422,5.1,1.1
164,8600000US11413,ZCTA5 11413,42443,1525,42443,(X),41707,1497,98.3,0.6,736,255,1.7,0.6,41707,1497,98.3,0.6,987,318,2.3,0.7,39084,1514,92.1,1.3,105,69,0.2,0.2,480,219,1.1,0.5,51,78,0.1,0.2,1000,296,2.4,0.7,736,255,1.7,0.6,172,97,0.4,0.2,68,109,0.2,0.3,0,25,0.0,0.1,101,83,0.2,0.2,42443,1525,42443,(X),2080,440,4.9,1.0
165,8600000US11414,ZCTA5 11414,29219,1494,29219,(X),27460,1507,94.0,2.5,1759,750,6.0,2.5,27460,1507,94.0,2.5,22761,1663,77.9,4.7,556,365,1.9,1.2,0,22,0.0,0.1,1518,531,5.2,1.9,0,22,0.0,0.1,2625,939,9.0,3.1,1759,750,6.0,2.5,93,122,0.3,0.4,16,26,0.1,0.1,143,159,0.5,0.5,0,22,0.0,0.1,29219,1494,29219,(X),6513,1156,22.3,3.6
166,8600000US11415,ZCTA5 11415,19372,1131,19372,(X),18602,1122,96.0,1.0,770,203,4.0,1.0,18602,1122,96.0,1.0,11415,816,58.9,3.8,1039,282,5.4,1.5,92,98,0.5,0.5,3671,835,19.0,3.8,19,31,0.1,0.2,2366,612,12.2,2.9,770,203,4.0,1.0,165,106,0.9,0.6,0,19,0.0,0.2,269,124,1.4,0.6,65,72,0.3,0.4,19372,1131,19372,(X),4833,788,24.9,3.7
167,8600000US11416,ZCTA5 11416,27125,1152,27125,(X),25438,1118,93.8,1.3,1687,363,6.2,1.3,25438,1118,93.8,1.3,7440,708,27.4,2.4,1705,334,6.3,1.2,12,19,0.0,0.1,9033,879,33.3,2.6,5,30,0.0,0.1,7243,726,26.7,2.6,1687,363,6.2,1.3,90,48,0.3,0.2,33,26,0.1,0.1,120,114,0.4,0.4,0,22,0.0,0.1,27125,1152,27125,(X),12243,838,45.1,2.6
168,8600000US11417,ZCTA5 11417,31927,1201,31927,(X),30233,1233,94.7,1.3,1694,406,5.3,1.3,30233,1233,94.7,1.3,11426,1077,35.8,3.1,2362,510,7.4,1.6,75,59,0.2,0.2,9273,950,29.0,2.8,5,8,0.0,0.1,7092,954,22.2,2.9,1694,406,5.3,1.3,230,176,0.7,0.6,69,80,0.2,0.3,275,160,0.9,0.5,81,106,0.3,0.3,31927,1201,31927,(X),12302,1171,38.5,3.2
169,8600000US11418,ZCTA5 11418,38517,1368,38517,(X),36047,1346,93.6,1.3,2470,501,6.4,1.3,36047,1346,93.6,1.3,15641,1267,40.6,2.9,2829,480,7.3,1.2,215,142,0.6,0.4,9217,883,23.9,2.3,0,25,0.0,0.1,8145,1056,21.1,2.6,2470,501,6.4,1.3,516,258,1.3,0.7,113,119,0.3,0.3,439,222,1.1,0.6,14,15,0.0,0.1,38517,1368,38517,(X),17603,1237,45.7,2.5
170,8600000US11419,ZCTA5 11419,49618,1871,49618,(X),46650,1790,94.0,1.2,2968,640,6.0,1.2,46650,1790,94.0,1.2,4991,591,10.1,1.1,8140,901,16.4,1.8,478,246,1.0,0.5,16169,1295,32.6,2.2,19,29,0.0,0.1,16853,1309,34.0,2.4,2968,640,6.0,1.2,225,137,0.5,0.3,19,30,0.0,0.1,77,62,0.2,0.1,60,67,0.1,0.1,49618,1871,49618,(X),9358,960,18.9,1.8
171,8600000US11420,ZCTA5 11420,48489,1693,48489,(X),45307,1698,93.4,1.1,3182,547,6.6,1.1,45307,1698,93.4,1.1,7399,1018,15.3,2.1,11883,1105,24.5,2.2,449,194,0.9,0.4,15052,1574,31.0,2.8,76,117,0.2,0.2,10448,1310,21.5,2.6,3182,547,6.6,1.1,243,128,0.5,0.3,87,94,0.2,0.2,227,151,0.5,0.3,61,42,0.1,0.1,48489,1693,48489,(X),11660,1426,24.0,2.8
172,8600000US11421,ZCTA5 11421,41002,1295,41002,(X),38236,1244,93.3,1.6,2766,670,6.7,1.6,38236,1244,93.3,1.6,18122,1313,44.2,2.9,1921,384,4.7,0.9,251,132,0.6,0.3,8029,830,19.6,2.1,0,25,0.0,0.1,9913,1072,24.2,2.4,2766,670,6.7,1.6,170,99,0.4,0.2,48,65,0.1,0.2,106,81,0.3,0.2,32,36,0.1,0.1,41002,1295,41002,(X),24042,1522,58.6,2.5
173,8600000US11422,ZCTA5 11422,32082,1695,32082,(X),31456,1713,98.0,0.7,626,217,2.0,0.7,31456,1713,98.0,0.7,1759,438,5.5,1.4,27335,1726,85.2,2.4,305,264,1.0,0.8,662,309,2.1,0.9,0,25,0.0,0.1,1395,574,4.3,1.8,626,217,2.0,0.7,134,75,0.4,0.2,0,25,0.0,0.1,30,37,0.1,0.1,27,29,0.1,0.1,32082,1695,32082,(X),3070,543,9.6,1.7
174,8600000US11423,ZCTA5 11423,31400,1462,31400,(X),30206,1470,96.2,1.2,1194,392,3.8,1.2,30206,1470,96.2,1.2,4070,624,13.0,2.0,12198,1048,38.8,3.1,218,152,0.7,0.5,8960,979,28.5,2.6,0,25,0.0,0.1,4760,957,15.2,2.8,1194,392,3.8,1.2,61,87,0.2,0.3,14,27,0.0,0.1,16,25,0.1,0.1,44,31,0.1,0.1,31400,1462,31400,(X),4455,903,14.2,2.7
175,8600000US11424,ZCTA5 11424,0,12,0,(X),0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,0,(X),0,12,-,**
176,8600000US11425,ZCTA5 11425,0,12,0,(X),0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,0,(X),0,12,-,**
177,8600000US11426,ZCTA5 11426,20801,1201,20801,(X),20157,1269,96.9,1.1,644,211,3.1,1.1,20157,1269,96.9,1.1,8083,847,38.9,4.6,1379,618,6.6,2.9,98,106,0.5,0.5,9202,1277,44.2,4.7,0,22,0.0,0.2,1395,585,6.7,2.7,644,211,3.1,1.1,70,71,0.3,0.3,0,22,0.0,0.2,210,107,1.0,0.5,0,22,0.0,0.2,20801,1201,20801,(X),3938,790,18.9,3.7
178,8600000US11427,ZCTA5 11427,24037,1048,24037,(X),22589,1091,94.0,1.5,1448,357,6.0,1.5,22589,1091,94.0,1.5,7047,777,29.3,3.1,4979,706,20.7,2.6,279,210,1.2,0.9,7535,815,31.3,3.2,0,22,0.0,0.1,2749,584,11.4,2.4,1448,357,6.0,1.5,32,29,0.1,0.1,9,13,0.0,0.1,212,159,0.9,0.7,82,74,0.3,0.3,24037,1048,24037,(X),4676,694,19.5,2.8
179,8600000US11428,ZCTA5 11428,18929,861,18929,(X),16742,859,88.4,2.2,2187,429,11.6,2.2,16742,859,88.4,2.2,4295,522,22.7,2.5,3982,540,21.0,2.9,43,37,0.2,0.2,4877,624,25.8,3.3,87,116,0.5,0.6,3458,764,18.3,3.7,2187,429,11.6,2.2,270,188,1.4,1.0,149,191,0.8,1.0,60,50,0.3,0.3,11,17,0.1,0.1,18929,861,18929,(X),4795,724,25.3,3.4
180,8600000US11429,ZCTA5 11429,27403,1261,27403,(X),26781,1239,97.7,0.8,622,236,2.3,0.8,26781,1239,97.7,0.8,964,256,3.5,0.9,20884,1338,76.2,3.1,209,179,0.8,0.7,1122,302,4.1,1.0,59,76,0.2,0.3,3543,686,12.9,2.5,622,236,2.3,0.8,49,45,0.2,0.2,0,22,0.0,0.1,22,34,0.1,0.1,37,33,0.1,0.1,27403,1261,27403,(X),3405,612,12.4,2.3
181,8600000US11430,ZCTA5 11430,198,147,198,(X),198,147,100.0,15.1,0,12,0.0,15.1,198,147,100.0,15.1,25,23,12.6,14.5,146,106,73.7,8.2,0,12,0.0,15.1,0,12,0.0,15.1,0,12,0.0,15.1,27,44,13.6,17.3,0,12,0.0,15.1,0,12,0.0,15.1,0,12,0.0,15.1,0,12,0.0,15.1,0,12,0.0,15.1,198,147,198,(X),58,60,29.3,15.8
182,8600000US11432,ZCTA5 11432,62053,2158,62053,(X),59060,2136,95.2,0.8,2993,523,4.8,0.8,59060,2136,95.2,0.8,11857,1060,19.1,1.6,9931,943,16.0,1.4,381,199,0.6,0.3,25816,1450,41.6,2.0,108,117,0.2,0.2,10967,1269,17.7,1.8,2993,523,4.8,0.8,314,116,0.5,0.2,229,189,0.4,0.3,616,241,1.0,0.4,119,61,0.2,0.1,62053,2158,62053,(X),15162,1266,24.4,1.7
183,8600000US11433,ZCTA5 11433,36489,1610,36489,(X),35333,1569,96.8,1.6,1156,587,3.2,1.6,35333,1569,96.8,1.6,1432,573,3.9,1.6,23459,1594,64.3,4.0,6,10,0.0,0.1,3195,941,8.8,2.5,9,14,0.0,0.1,7232,1289,19.8,3.4,1156,587,3.2,1.6,120,86,0.3,0.2,0,25,0.0,0.1,69,109,0.2,0.3,154,163,0.4,0.4,36489,1610,36489,(X),6893,1110,18.9,2.8
184,8600000US11434,ZCTA5 11434,65791,2329,65791,(X),64487,2293,98.0,0.5,1304,336,2.0,0.5,64487,2293,98.0,0.5,1927,386,2.9,0.6,57595,2264,87.5,1.4,22,37,0.0,0.1,1615,477,2.5,0.7,0,28,0.0,0.1,3328,729,5.1,1.1,1304,336,2.0,0.5,241,122,0.4,0.2,38,38,0.1,0.1,104,128,0.2,0.2,166,155,0.3,0.2,65791,2329,65791,(X),4955,820,7.5,1.2
185,8600000US11435,ZCTA5 11435,59296,1407,59296,(X),56666,1576,95.6,1.0,2630,572,4.4,1.0,56666,1576,95.6,1.0,10038,902,16.9,1.5,14016,1078,23.6,1.8,135,117,0.2,0.2,14423,1375,24.3,2.2,22,28,0.0,0.1,18032,1924,30.4,3.1,2630,572,4.4,1.0,385,202,0.6,0.3,167,149,0.3,0.3,395,265,0.7,0.5,36,21,0.1,0.1,59296,1407,59296,(X),18428,1603,31.1,2.5
186,8600000US11436,ZCTA5 11436,20077,917,20077,(X),19177,944,95.5,1.3,900,264,4.5,1.3,19177,944,95.5,1.3,1132,299,5.6,1.4,12389,849,61.7,3.4,133,79,0.7,0.4,2116,495,10.5,2.4,0,22,0.0,0.2,3407,598,17.0,2.8,900,264,4.5,1.3,70,54,0.3,0.3,0,22,0.0,0.2,48,54,0.2,0.3,63,43,0.3,0.2,20077,917,20077,(X),2969,497,14.8,2.3
187,8600000US11451,ZCTA5 11451,0,12,0,(X),0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,0,(X),0,12,-,**
188,8600000US11510,ZCTA5 11510,33484,1161,33484,(X),31388,1250,93.7,2.0,2096,662,6.3,2.0,31388,1250,93.7,2.0,17237,1325,51.5,3.4,11047,908,33.0,2.5,28,31,0.1,0.1,1276,350,3.8,1.1,34,40,0.1,0.1,1766,698,5.3,2.1,2096,662,6.3,2.0,837,521,2.5,1.6,184,217,0.5,0.6,133,126,0.4,0.4,317,259,0.9,0.8,33484,1161,33484,(X),8173,990,24.4,2.7
189,8600000US11548,ZCTA5 11548,2963,527,2963,(X),2865,520,96.7,1.7,98,50,3.3,1.7,2865,520,96.7,1.7,1857,393,62.7,11.1,199,86,6.7,3.0,0,12,0.0,1.1,657,371,22.2,10.9,0,12,0.0,1.1,152,167,5.1,5.5,98,50,3.3,1.7,17,22,0.6,0.8,0,12,0.0,1.1,34,33,1.1,1.1,13,16,0.4,0.5,2963,527,2963,(X),316,176,10.7,5.5
190,8600000US11566,ZCTA5 11566,33401,942,33401,(X),32955,907,98.7,0.7,446,225,1.3,0.7,32955,907,98.7,0.7,30277,1006,90.6,1.9,1022,376,3.1,1.1,42,56,0.1,0.2,1234,374,3.7,1.1,0,25,0.0,0.1,380,204,1.1,0.6,446,225,1.3,0.7,42,72,0.1,0.2,121,126,0.4,0.4,177,126,0.5,0.4,3,6,0.0,0.1,33401,942,33401,(X),2306,460,6.9,1.3
191,8600000US11577,ZCTA5 11577,12808,719,12808,(X),12652,733,98.8,0.8,156,105,1.2,0.8,12652,733,98.8,0.8,9563,721,74.7,3.6,659,231,5.1,1.7,37,38,0.3,0.3,2134,375,16.7,2.7,0,19,0.0,0.3,259,201,2.0,1.6,156,105,1.2,0.8,6,12,0.0,0.1,13,20,0.1,0.2,45,52,0.4,0.4,0,19,0.0,0.3,12808,719,12808,(X),1274,434,9.9,3.3
192,8600000US11580,ZCTA5 11580,43714,1203,43714,(X),41589,1308,95.1,1.3,2125,569,4.9,1.3,41589,1308,95.1,1.3,15334,1184,35.1,2.8,13924,1305,31.9,2.8,25,35,0.1,0.1,6409,799,14.7,1.8,12,22,0.0,0.1,5885,1187,13.5,2.6,2125,569,4.9,1.3,423,298,1.0,0.7,7,13,0.0,0.1,227,183,0.5,0.4,11,19,0.0,0.1,43714,1203,43714,(X),11425,1307,26.1,2.7
193,8600000US11598,ZCTA5 11598,13715,935,13715,(X),13676,941,99.7,0.4,39,54,0.3,0.4,13676,941,99.7,0.4,12469,946,90.9,3.6,482,256,3.5,1.9,0,19,0.0,0.2,455,262,3.3,1.9,0,19,0.0,0.2,270,239,2.0,1.7,39,54,0.3,0.4,1,3,0.0,0.1,0,19,0.0,0.2,0,19,0.0,0.2,0,19,0.0,0.2,13715,935,13715,(X),928,396,6.8,2.8
194,0100000US,United States,322903030,*****,322903030,(X),312467233,95465,96.8,0.1,10435797,95419,3.2,0.1,312467233,95465,96.8,0.1,234904818,49642,72.7,0.1,40916113,31375,12.7,0.1,2699073,12129,0.8,0.1,17574550,20968,5.4,0.1,582718,5451,0.2,0.1,15789961,90295,4.9,0.1,10435797,95419,3.2,0.1,2808897,31046,0.9,0.1,1914487,12184,0.6,0.1,2174150,26032,0.7,0.1,313482,7086,0.1,0.1,322903030,*****,322903030,(X),57517935,1657,17.8,0.1
